n,x1,x2,x3,x4,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35
434,1,-1,-1,-1,0.007725210587804975,0.2664153939463028,2.385394080422387,392.1943966801918,11.52133541583763,-3813.037271978907,49.72282225706224,1923.251300872112,5.617088767304295,1174.109881864308,5283.143107993259,-3051.89576474114,1222.351707879985,4235.131123978883,39.5679126582591,92.61092292497682,-21.29347386694281,-0.6516764860087224,19.27856124124622,-41.72142389508839,9.945434461575253,79.728810450096,-80.5736066144936,-32.324096765635,45.20934591925461,0.08255060054894882,60.39752347029157,97047.91668390912,8569387.424459616,41194.37891258164,2961241.478638188,1.160154802549938,2621.396440762215,1.564983675830526,5.819140080503455
435,-1,1,-1,-1,0.009229821613107684,0.2193246829889709,2.149842824176973,343.8039173338844,10.02883985355961,-3947.72658931067,-240.2904735739116,1931.662414290213,2.557677798872074,1145.664677878436,6916.015803632285,-2049.856748265996,906.6919976685676,6232.205198057346,37.50782680998386,105.9837222445126,-17.60308190184141,0.006554744054821327,12.71274156520963,-65.51515449837345,5.326777185982444,73.63154135026507,-80.3100362623817,-29.32270824687847,56.56221434132162,0.2799115247737229,45.29682471762433,110194.2796668734,6604529.376855866,37495.50601007752,2951757.156240908,4.45474675712852,3481.149070881662,1.395955847904481,5.869192642268602
436,1,1,-1,-1,0.009541199639852416,0.2625881071247715,3.61315311199647,370.1781569842288,12.49180895558785,-5909.984672162124,-439.8393854658449,1924.033339986403,2.763526277566323,1876.203212008561,9473.615613041957,-3396.702161484566,1437.423354796728,7088.863879845698,47.50092742366117,124.3660024390371,-34.99915142836019,-0.9485446840595998,16.49468950338788,-53.68264265118682,8.803535092990252,83.86183973464658,-106.112919049982,-40.19963663455779,45.78276611138111,0.04609742599039781,63.82411896996396,171335.2196384506,10764190.98948538,51603.33166300859,3271835.55165236,1.58066397893856,2555.190421662275,1.202626897768801,5.848822291453363
437,-1,-1,1,-1,0.00840171384171318,0.2227230126279448,1.66132957324297,361.3848107788622,9.847370290973542,-3555.621302627987,59.93200878488093,1958.375688369404,6.661656941585436,979.0979579667245,7043.472998538132,-1948.362171827782,1041.998786241158,7010.120770514553,35.58257736906199,106.9357918917141,-18.10080949693401,0.2259622462327153,24.90026415269112,-43.76494572298348,7.044535032002173,62.33585227936594,-88.27596961114828,-28.5617355364715,49.48592378799238,0.3185906004979059,58.59452408773473,78635.80776480932,9260674.019888802,32759.24559937754,3276600.040994441,3.070540592817318,3565.577616271646,1.619304133105119,5.859932270856749
438,1,-1,1,-1,0.008286248407865817,0.3142625503625509,3.322896248549838,435.7932576247564,11.92840708904235,-7176.616734160784,-71.69604815742386,2173.211659023806,6.720222213835473,1457.35296489395,10495.62519777124,-4208.272759561258,1385.297144679723,8727.537739114689,44.13161767412798,130.4824815254981,-44.77225527381796,0.4894126091962415,31.46282376018073,-67.57898098877271,11.42786964366517,84.52827488566837,-101.0132586179109,-34.86044807349475,60.02484201568548,0.2731941901061211,82.57648605166993,133336.2358379484,14347086.32164889,46220.99097214946,3500733.829768714,1.842168708599595,2572.758798811054,1.382602173147541,4.768640683611838
439,-1,1,1,-1,0.01035597049658457,0.233202661970276,2.439922628758997,354.3539915573759,10.22586255552316,-4288.728417359864,-141.6154478714737,2231.086539221656,3.630186272548541,1182.316102382325,8162.399256349985,-2688.414388314841,1043.468351073713,8348.498385209272,38.33236412688475,111.8206057152182,-15.29162324725421,0.1094588402527229,15.84031019760704,-59.29485765337232,4.471029784142804,71.5119959104254,-104.8140535905035,-29.72615088678077,64.31286848253593,0.3019717196613537,53.63543002439238,103782.5669563507,6239659.550237427,37914.49436222355,2970875.452676659,6.075878828757129,3474.657519317001,1.418891774313847,5.634939848468832
440,1,1,1,-1,0.0100858718702779,0.3358868218052702,5.080653246223739,451.2307526180372,12.79533820875381,-6024.385268948835,-376.234889078509,2977.782068940878,16.58955674053662,2239.636880665738,12693.81230941852,-4825.800360008217,1867.973632833741,10807.92891930936,52.50144589244265,142.7068463065958,-32.04038593813938,-0.2286440988486734,36.03125536189526,-61.79105064907818,10.11526067645843,71.15418748338752,-132.7086028847835,-44.603508153752,39.27123830416714,0.2414063317867047,100.8960210072362,197396.6509745629,20728746.58636642,52187.99279609536,3576811.200529604,3.671187785709377,2313.483724104839,1.256165438256121,7.190542652873328
441,-1,-1,-1,1,0.01184712745365054,0.2413183521564732,1.783986514215806,374.1108231244483,11.49244673216134,-2880.489638474781,45.78549971822482,1788.331782810241,3.757982863486275,934.1808071361248,4655.920509080869,-2354.926240691186,978.1157554493659,3944.155966973212,35.60097696288558,81.41238914888267,-21.71718423531104,-0.7529240723752108,19.1175603678928,-44.60445098838846,7.138117791478832,64.8737497367378,-73.97740909185183,-28.17500576182648,45.30074121335734,0.1731135168721745,62.12355622658841,60955.27186719533,5549972.894708248,31833.26399352478,2865323.770693771,2.185445751034967,3513.660385831869,1.586570327162319,6.308939454680739
442,1,-1,-1,1,0.01173178830367834,0.2771190929831485,2.36291123075954,398.935875481287,14.33662152144914,-3612.618379286115,-77.48059315770298,1958.577248265661,2.221410809169031,1192.607716707497,4736.287741229497,-3216.214799258625,1117.195899703248,4233.620603036996,40.43688372139306,87.95628574845809,-25.06081378920292,-2.759896528948595,20.7766735475765,-32.00018235505715,12.14561666256962,75.03866021909397,-70.52218378894672,-31.30085469627114,48.9448398376147,0.07592554124305016,75.28508875295363,91040.58784574937,7424009.972211338,41774.10645553732,3021987.554261927,0.889436567157404,2607.70408634242,1.409259269948623,5.463944135316206
443,-1,1,-1,1,0.01560421154896905,0.2472084876431485,2.920093101096158,358.2669822809186,12.26727858003984,-5388.011764062874,-597.5923473446235,2354.244381019246,5.538681126676805,1521.778158837304,8646.220437701435,-2350.652671684232,938.0380432748776,6833.669383765677,42.57641200032971,118.3273272959874,-37.13473696520921,-0.7437033696575457,25.57780815352861,-62.67258213085089,7.196290533842316,82.25859997178848,-87.73610177735485,-33.08521643375673,54.12666992148534,0.3180763932270089,59.91179943363059,150806.0942712726,8547758.925980886,41748.09190570397,3151072.898812622,4.484291647040761,3699.586186911093,1.397553463059364,7.084805872260775
444,1,1,-1,1,0.01596660612760783,0.2173810454091936,2.43663429752516,322.4772087108324,16.45381035666571,-3451.557133133815,-550.9924941835786,1703.047707715902,2.668774294620599,1662.36972891075,7304.96238783524,-2290.971887417638,1233.304704919266,5972.662654528249,44.72913487784901,109.3375401506367,-28.51620389055657,-2.772057392301905,17.14842493508204,-36.37417364453524,8.674333256427564,67.9727426429533,-92.98491297580419,-38.81556992481682,36.69468826702139,0.282798867426729,45.09363434897331,145432.3422997652,7439066.535876302,50662.74379424251,3207247.115720695,2.004841132787273,2121.69893200415,1.267704921261229,5.318392541915731
445,-1,-1,1,1,0.01229518847592639,0.2666180168277424,2.293374768398718,392.9135895276247,11.77014470254443,-4829.530053578921,99.1951601599093,1949.902594464982,5.217730905932761,1121.18660107279,8042.714981558456,-2037.127286758102,1219.245296907215,7371.975665077316,38.60081532237669,114.5878885412374,-22.77205511103884,-0.324201718831421,21.81253493023601,-54.22631631794241,8.181753641702302,71.35712189443905,-92.34565571808216,-30.12414246242481,50.57433118364008,0.3268676582260921,71.0242527148391,80441.43014594138,9019471.332949007,33390.77730271353,3319650.011550038,3.923688308089229,3199.269066137208,1.397131966137113,6.518862801466511
446,1,-1,1,1,0.0123178068285375,0.3259230039224834,3.519654399597576,442.1993434529595,14.81956997755495,-5692.800786969891,-112.7918799473442,2785.438761071588,14.69022568836363,1671.927515727608,9738.908719754518,-3701.754670893324,1555.594840716297,7774.936324563213,47.65391254331987,126.0572081262025,-47.19101064009497,-2.416729707162482,38.53968296606597,-51.67551878557028,13.09883574935879,78.8200560261147,-102.1430781250964,-36.48457843946657,53.05506896656718,0.2894880355193394,85.05555159981003,123773.425485678,10579527.192058,47204.10643793366,3348532.195364675,2.569447694207184,2304.063035552781,1.224252577968306,4.677921819464338
447,-1,1,1,1,0.01690826923778253,0.2674632162256096,3.250458503378111,379.5198183267593,12.65617848825036,-5557.418824061001,-338.9227388450109,2107.001010614157,4.645002323926109,1523.773114537896,9903.502029156158,-2310.167252500145,1183.164958167002,9404.039758429724,43.61685845093271,125.840853922572,-26.23412395525945,-0.6183604100139595,23.30061694535244,-52.84350975014316,6.563677094018591,73.13618680737031,-119.1743613046525,-36.25137465376938,59.1643113352929,0.3322161059079342,69.25118299235129,144786.3902827506,11306252.36084822,41535.7983629689,3405792.359978063,5.55447475005941,3926.346153746612,1.466591296724699,6.414192917374208
448,1,1,1,1,0.0173970862690909,0.384803387330333,5.811879493883491,443.7769120306918,17.10889592369513,-7657.538738806483,-735.6483971017014,2018.604534753154,24.41298302536437,2719.311431522832,13458.41771030509,-5303.368668513303,1975.953752503088,10146.08819277717,58.21530599012162,148.91162369244,-53.98381655422536,-3.041469177915211,41.01597741696511,-56.2865107896824,12.0032159809796,71.3726043534276,-140.4715240127643,-49.31916817497339,42.06649231315259,0.1751596141523183,106.9792354031485,182556.3137003623,20686793.95367665,55882.41014621817,3923885.680828694,2.199268114292235,1845.839663451057,1.085728099135658,4.821475128574325
449,2,0,0,0,0.0106028078934765,0.3575211006402069,4.710965704969346,473.0393639226045,14.63833247402545,-6467.706737951237,-443.0669226441624,3740.8911750017,5.638335729892028,1889.854604240439,10702.77334265037,-4165.570184224814,1448.80646865146,7264.317391358401,49.27280588713723,132.4824539530209,-34.21342085938743,-1.843059947621033,25.88175575410775,-48.75766240393527,12.87938173066029,90.3701926031764,-104.9687860189249,-40.13239382329644,42.63605830066473,0.07309352951902903,100.6838077932856,196443.3452696891,15534271.61003981,50041.95873889121,3647471.604401855,1.458382424715569,2408.686764415881,1.264753898557318,5.46143207705967
450,0,-2,0,0,0.01039403732970827,0.2554656410488704,1.988267581283515,385.7727154245285,12.50642030589437,-3521.241162750548,252.6207994776772,1863.275855664197,2.071198552215128,1015.907785569032,4919.85028844157,-2740.142424804,1271.982587934833,4212.725632365986,36.8169287100953,89.52480994460154,-33.99945443483401,-1.058240046954351,20.1722388086615,-28.84096526963496,9.608567874073751,70.35738977554915,-74.40881619023305,-29.26767924932377,70.13578198309703,0.1177278826314863,59.5094850128614,68330.59751877243,12543317.88478989,35168.0252816901,3260814.749884748,1.259559914415847,2546.486565878908,1.494717927855895,5.454565037399101
451,0,2,0,0,0.01988888362280119,0.1802292913988752,2.430837557581059,279.8893003969369,14.71983878062009,-3581.941361186868,-570.8230781981371,1571.903380071396,5.324066715467427,1870.508719836602,8729.489960720315,-2654.561481948546,1281.61241001447,7569.833340044892,45.87221657975293,119.1320169745844,-26.92699043970751,-1.674917499532005,20.95511254876268,-29.6022517546015,4.932475261130588,64.9353071544896,-112.46890211669,-40.2678425585273,52.88580376496031,0.2124718132069811,28.85814260072114,190303.3355576109,26148593.83499144,50086.7338779668,4073026.784539214,5.375445388372756,2771.280981409088,1.323377728568026,6.896369146416627
452,0,0,-2,0,0.01017312728625117,0.2267540582166586,2.184369287769035,346.6647879500811,12.05176497413296,-3519.731364955319,-39.86489438278424,1556.831366971799,2.207383092483309,1168.116385603446,4236.84754598346,-2105.433253395951,871.8489022035727,4807.058814189929,38.92813500207225,83.13800468501063,-16.35848237538545,-1.437626384512882,12.96015118141425,-43.00394784416856,7.856632584064291,71.14507361855357,-74.84634391293176,-29.09296354576457,43.25810512020623,0.0643573102648743,47.1171533107707,105266.4587100144,7996224.082327468,38719.90916579535,2717309.637730546,1.098517253314113,3364.404563488014,1.659081845970751,8.017397543412278
453,0,0,2,0,0.01256328079538911,0.2383969452309103,2.518037116235606,373.2444782009945,12.80566920582185,-4434.99573676077,-28.64301953245731,1594.029852105135,7.775013125231082,1281.23039114059,6893.592956075941,-1993.292869846293,1222.657295007945,6648.238225435587,39.95166207977022,99.16141295148726,-18.31910459136102,-1.501420468364612,26.43383433888335,-42.29269614790979,7.654274243735341,60.61136937372883,-91.78736613205277,-32.90181117304544,35.67485155188808,0.2271347684815591,56.74689316509358,80014.84146819229,6044247.85920514,40466.32259215056,2773137.716363706,2.434281884930607,2748.934519724954,1.661388756230182,8.587782048596237
454,0,0,0,-2,0.00609700482461346,0.2083911837268354,2.106996113381641,333.2049224379084,9.488921851295512,-3499.651536872043,35.17743681501645,1925.790938859489,5.140368560913369,1237.0652356742,6435.543819779696,-1614.129927391961,1272.600240867273,6200.998708821856,39.432441673592,102.1100963595002,-12.24497345115409,1.074686291647327,17.27339674979989,-59.59084551949754,7.478315875719841,66.11481954976301,-80.26104459646982,-33.08581525188161,45.24335020105624,0.1944541680892676,41.44297353396261,113060.698703606,8282042.315941187,44513.65631451615,3264440.138023194,1.420011790227913,3077.183272595061,1.509358460119057,5.322279958932738
